,year,id_,marital,agewed,divorce,hapmar,zodiac,ballot
22432,1988,558,Married,21,YES,VERY HAPPY,Sagittarius,Ballot c
22433,1988,559,Married,18,NO,VERY HAPPY,Gemini,Ballot a
22434,1988,560,Married,23,NO,VERY HAPPY,Sagittarius,Ballot b
22437,1988,563,Married,19,NO,VERY HAPPY,Aries,Ballot c
22438,1988,564,Married,23,NO,PRETTY HAPPY,Taurus,Ballot a
22440,1988,566,Married,19,YES,PRETTY HAPPY,Sagittarius,Ballot a
22441,1988,567,Married,22,NO,VERY HAPPY,Pisces,Ballot c
22442,1988,568,Married,24,YES,VERY HAPPY,Libra,Ballot c
22444,1988,570,Married,20,NO,VERY HAPPY,Gemini,Ballot b
22445,1988,571,Married,20,NO,PRETTY HAPPY,Scorpio,Ballot c
22451,1988,577,Married,19,YES,VERY HAPPY,Capricorn,Ballot a
22453,1988,579,Married,18,NO,VERY HAPPY,Pisces,Ballot c
22456,1988,582,Married,27,NO,PRETTY HAPPY,Taurus,Ballot a
22460,1988,586,Married,20,NO,VERY HAPPY,Aries,Ballot c
22462,1988,588,Married,17,NO,PRETTY HAPPY,Leo,Ballot a
22464,1988,590,Married,19,YES,VERY HAPPY,Sagittarius,Ballot c
22466,1988,592,Married,16,YES,VERY HAPPY,Taurus,Ballot b
22467,1988,593,Married,24,NO,PRETTY HAPPY,Gemini,Ballot b
22468,1988,594,Married,23,NO,VERY HAPPY,Gemini,Ballot c
22469,1988,595,Married,19,NO,VERY HAPPY,Virgo,Ballot c
22470,1988,596,Married,20,NO,VERY HAPPY,Capricorn,Ballot b
22471,1988,597,Married,23,YES,VERY HAPPY,Libra,Ballot b
22472,1988,598,Married,20,NO,VERY HAPPY,Pisces,Ballot c
22473,1988,599,Married,19,NO,PRETTY HAPPY,Capricorn,Ballot b
22474,1988,600,Married,22,NO,VERY HAPPY,Libra,Ballot a
22476,1988,602,Married,22,YES,VERY HAPPY,Cancer,Ballot c
22477,1988,603,Married,20,NO,VERY HAPPY,Aries,Ballot c
22480,1988,606,Married,18,YES,PRETTY HAPPY,Scorpio,Ballot a
22482,1988,608,Married,18,NO,PRETTY HAPPY,Leo,Ballot c
22485,1988,611,Married,16,YES,PRETTY HAPPY,Aries,Ballot b
22488,1988,614,Married,20,NO,VERY HAPPY,Aries,Ballot b
22490,1988,616,Married,25,NO,PRETTY HAPPY,Virgo,Ballot a
22491,1988,617,Married,25,NO,VERY HAPPY,Aries,Ballot b
22492,1988,618,Married,17,NO,VERY HAPPY,Gemini,Ballot a
22493,1988,619,Married,27,NO,PRETTY HAPPY,Capricorn,Ballot a
